Chl,Chl_2,WORKYEAR,NIDO,DATE,Time0,Time,Event,BroodReduction,HatchAsync,PROPORTIONALRANK
0.5409506647854115,0.2926276217317787,2004,04-742,2004-05-12,7,8,0,0,4,0.5570342
0.5409506647854115,0.2926276217317787,2004,04-742,2004-05-19,8,9,0,0,4,0.5570342
0.5409506647854115,0.2926276217317787,2004,04-742,2004-05-23,9,10,0,0,4,0.5570342
0.44651000918367345,0.19937118830120415,2005,05-415,2005-05-26,1,2,0,0,2,0.2220166
0.44651000918367345,0.19937118830120415,2005,05-415,2005-06-02,2,3,0,0,2,0.2220166
0.44651000918367345,0.19937118830120415,2005,05-415,2005-06-09,3,4,0,0,2,0.2220166
0.44651000918367345,0.19937118830120415,2005,05-415,2005-06-16,4,5,0,0,2,0.2220166
0.304920430909091,0.09297646918578573,2005,05-415,2005-06-23,5,6,0,0,2,0.2220166
0.304920430909091,0.09297646918578573,2005,05-415,2005-06-30,6,7,0,0,2,0.2220166
0.304920430909091,0.09297646918578573,2005,05-415,2005-07-07,7,8,0,1,2,0.2220166
0.18987494414893602,0.036052494415561576,2005,05-415,2005-07-14,8,9,1,0,2,0.2220166
0.18987494414893602,0.036052494415561576,2005,05-415,2005-07-18,9,10,1,1,2,0.2220166
1.95856323618153,3.8359699501218674,2008,08-102,2008-03-11,1,2,0,0,8,0.7379603
1.95856323618153,3.8359699501218674,2008,08-102,2008-03-18,2,3,0,0,8,0.7379603
1.95856323618153,3.8359699501218674,2008,08-102,2008-03-25,3,4,0,0,8,0.7379603
1.95856323618153,3.8359699501218674,2008,08-102,2008-04-01,4,5,0,0,8,0.7379603
1.95856323618153,3.8359699501218674,2008,08-102,2008-04-08,5,6,0,0,8,0.7379603
1.95856323618153,3.8359699501218674,2008,08-102,2008-04-15,6,7,0,0,8,0.7379603
1.95856323618153,3.8359699501218674,2008,08-102,2008-04-22,7,8,0,0,8,0.7379603
2.0684199089070985,4.27836091956325,2008,08-102,2008-04-29,8,9,0,0,8,0.7379603
2.0684199089070985,4.27836091956325,2008,08-102,2008-05-03,9,10,0,0,8,0.7379603
0.462953,0.214325480209,2010,10-347,2010-05-17,1,2,0,0,3,0.3667924
0.462953,0.214325480209,2010,10-347,2010-05-24,2,3,0,0,3,0.3667924
0.462953,0.214325480209,2010,10-347,2010-05-31,3,4,0,0,3,0.3667924
0.462953,0.214325480209,2010,10-347,2010-06-07,4,5,0,0,3,0.3667924
0.49827775316126277,0.2482807192954363,2010,10-347,2010-06-14,5,6,0,0,3,0.3667924
0.3875665871721413,0.150207859492261,2010,10-347,2010-06-21,6,7,0,0,3,0.3667924
0.3875665871721413,0.150207859492261,2010,10-347,2010-06-28,7,8,0,0,3,0.3667924
0.211974071428571,0.04493300695800492,2010,10-347,2010-07-05,8,9,0,0,3,0.3667924
0.211974071428571,0.04493300695800492,2010,10-347,2010-07-09,9,10,0,0,3,0.3667924
2.5775505316815472,6.643766743371827,2008,08-670,2008-05-12,1,2,0,0,5,0.871577
2.5775505316815472,6.643766743371827,2008,08-670,2008-05-19,2,3,0,0,5,0.871577
2.5775505316815472,6.643766743371827,2008,08-670,2008-05-26,3,4,0,0,5,0.871577
2.5775505316815472,6.643766743371827,2008,08-670,2008-06-02,4,5,0,0,5,0.871577
1.40948310526316,1.98664262402228,2008,08-670,2008-06-09,5,6,0,0,5,0.871577
1.40948310526316,1.98664262402228,2008,08-670,2008-06-16,6,7,0,0,5,0.871577
0.7251075235622362,0.5257809207265589,2008,08-670,2008-06-23,7,8,0,0,5,0.871577
0.4073683713158234,0.16594898994850654,2008,08-670,2008-06-30,8,9,0,1,5,0.871577
0.252615653846154,0.06381466856811989,2008,08-670,2008-07-04,9,10,1,1,5,0.871577
0.365692078205128,0.13373069606198545,2005,05-073,2005-04-10,1,2,0,0,3,0.01433857
0.365692078205128,0.13373069606198545,2005,05-073,2005-04-17,2,3,0,0,3,0.01433857
0.4666591533723983,0.21777076542624357,2005,05-073,2005-04-24,3,4,0,0,3,0.01433857
0.4666591533723983,0.21777076542624357,2005,05-073,2005-05-01,4,5,0,0,3,0.01433857
0.4666591533723983,0.21777076542624357,2005,05-073,2005-05-08,5,6,0,0,3,0.01433857
0.4666591533723983,0.21777076542624357,2005,05-073,2005-05-15,6,7,0,0,3,0.01433857
0.44651000918367345,0.19937118830120415,2005,05-073,2005-05-22,7,8,0,0,3,0.01433857
0.44651000918367345,0.19937118830120415,2005,05-073,2005-05-29,8,9,0,0,3,0.01433857
0.44651000918367345,0.19937118830120415,2005,05-073,2005-06-02,9,10,0,0,3,0.01433857
0.7098788251503159,0.5039279463967927,2004,04-346,2004-03-26,1,2,0,0,3,0.4510456
0.7098788251503159,0.5039279463967927,2004,04-346,2004-04-02,2,3,0,0,3,0.4510456
0.6449794508125543,0.41599849197046407,2004,04-346,2004-04-09,3,4,0,0,3,0.4510456
0.6449794508125543,0.41599849197046407,2004,04-346,2004-04-16,4,5,0,0,3,0.4510456
0.5409506647854115,0.2926276217317787,2004,04-346,2004-04-23,5,6,0,0,3,0.4510456
0.5409506647854115,0.2926276217317787,2004,04-346,2004-04-30,6,7,0,0,3,0.4510456
0.5409506647854115,0.2926276217317787,2004,04-346,2004-05-07,7,8,0,0,3,0.4510456
0.5409506647854115,0.2926276217317787,2004,04-346,2004-05-14,8,9,0,0,3,0.4510456
0.5409506647854115,0.2926276217317787,2004,04-346,2004-05-18,9,10,0,0,3,0.4510456
0.7098788251503159,0.5039279463967927,2004,04-474,2004-03-23,1,2,0,0,3,0.3526616
0.7098788251503159,0.5039279463967927,2004,04-474,2004-03-30,2,3,0,0,3,0.3526616
0.7098788251503159,0.5039279463967927,2004,04-474,2004-04-06,3,4,0,0,3,0.3526616
0.6449794508125543,0.41599849197046407,2004,04-474,2004-04-13,4,5,0,0,3,0.3526616
0.6449794508125543,0.41599849197046407,2004,04-474,2004-04-20,5,6,0,0,3,0.3526616
0.5409506647854115,0.2926276217317787,2004,04-474,2004-04-27,6,7,0,0,3,0.3526616
0.5409506647854115,0.2926276217317787,2004,04-474,2004-05-04,7,8,0,0,3,0.3526616
0.5409506647854115,0.2926276217317787,2004,04-474,2004-05-11,8,9,0,0,3,0.3526616
0.5409506647854115,0.2926276217317787,2004,04-474,2004-05-15,9,10,0,0,3,0.3526616
0.7098788251503159,0.5039279463967927,2004,04-327,2004-03-20,1,2,0,0,3,0.2675855
0.7098788251503159,0.5039279463967927,2004,04-327,2004-03-27,2,3,0,0,3,0.2675855
0.7098788251503159,0.5039279463967927,2004,04-327,2004-04-03,3,4,0,0,3,0.2675855
0.6449794508125543,0.41599849197046407,2004,04-327,2004-04-10,4,5,0,0,3,0.2675855
0.6449794508125543,0.41599849197046407,2004,04-327,2004-04-17,5,6,0,0,3,0.2675855
0.5409506647854115,0.2926276217317787,2004,04-327,2004-04-24,6,7,0,0,3,0.2675855
0.5409506647854115,0.2926276217317787,2004,04-327,2004-05-01,7,8,0,0,3,0.2675855
0.5409506647854115,0.2926276217317787,2004,04-327,2004-05-08,8,9,0,0,3,0.2675855
0.5409506647854115,0.2926276217317787,2004,04-327,2004-05-12,9,10,0,0,3,0.2675855
0.7098788251503159,0.5039279463967927,2004,04-157,2004-03-25,1,2,0,0,6,0.3246198
0.7098788251503159,0.5039279463967927,2004,04-157,2004-04-01,2,3,0,0,6,0.3246198
0.6449794508125543,0.41599849197046407,2004,04-157,2004-04-08,3,4,0,1,6,0.3246198
0.6449794508125543,0.41599849197046407,2004,04-157,2004-04-15,4,5,1,0,6,0.3246198
0.5409506647854115,0.2926276217317787,2004,04-157,2004-04-22,5,6,1,0,6,0.3246198
0.5409506647854115,0.2926276217317787,2004,04-157,2004-04-29,6,7,1,0,6,0.3246198
0.5409506647854115,0.2926276217317787,2004,04-157,2004-05-06,7,8,1,0,6,0.3246198
0.5409506647854115,0.2926276217317787,2004,04-157,2004-05-13,8,9,1,0,6,0.3246198
0.5409506647854115,0.2926276217317787,2004,04-157,2004-05-17,9,10,1,1,6,0.3246198
0.7098788251503159,0.5039279463967927,2004,04-006,2004-03-22,1,2,0,0,6,0.2338403
0.7098788251503159,0.5039279463967927,2004,04-006,2004-03-29,2,3,0,0,6,0.2338403
0.7098788251503159,0.5039279463967927,2004,04-006,2004-04-05,3,4,0,0,6,0.2338403
0.6449794508125543,0.41599849197046407,2004,04-006,2004-04-12,4,5,0,0,6,0.2338403
0.6449794508125543,0.41599849197046407,2004,04-006,2004-04-19,5,6,0,0,6,0.2338403
0.5409506647854115,0.2926276217317787,2004,04-006,2004-04-26,6,7,0,0,6,0.2338403
0.5409506647854115,0.2926276217317787,2004,04-006,2004-05-03,7,8,0,0,6,0.2338403
0.5409506647854115,0.2926276217317787,2004,04-006,2004-05-10,8,9,0,0,6,0.2338403
0.5409506647854115,0.2926276217317787,2004,04-006,2004-05-14,9,10,0,0,6,0.2338403
0.870756937815976,0.7582176447546555,2006,06-256,2006-03-16,1,2,0,0,8,0.7363375
0.870756937815976,0.7582176447546555,2006,06-256,2006-03-23,2,3,0,0,8,0.7363375
0.870756937815976,0.7582176447546555,2006,06-256,2006-03-30,3,4,0,0,8,0.7363375
0.870756937815976,0.7582176447546555,2006,06-256,2006-04-06,4,5,0,0,8,0.7363375
0.870756937815976,0.7582176447546555,2006,06-256,2006-04-13,5,6,0,0,8,0.7363375
0.9419394031992855,0.8872498392994261,2006,06-256,2006-04-20,6,7,0,0,8,0.7363375
0.9419394031992855,0.8872498392994261,2006,06-256,2006-04-27,7,8,0,0,8,0.7363375
0.9419394031992855,0.8872498392994261,2006,06-256,2006-05-04,8,9,0,0,8,0.7363375
0.9419394031992855,0.8872498392994261,2006,06-256,2006-05-08,9,10,0,0,8,0.7363375
0.44651000918367345,0.19937118830120415,2005,05-228,2005-05-27,1,2,0,1,12,0.1184089
0.44651000918367345,0.19937118830120415,2005,05-228,2005-06-03,2,3,1,0,12,0.1184089
0.44651000918367345,0.19937118830120415,2005,05-228,2005-06-10,3,4,1,0,12,0.1184089
0.44651000918367345,0.19937118830120415,2005,05-228,2005-06-17,4,5,1,0,12,0.1184089
0.304920430909091,0.09297646918578573,2005,05-228,2005-06-24,5,6,1,0,12,0.1184089
0.304920430909091,0.09297646918578573,2005,05-228,2005-07-01,6,7,1,0,12,0.1184089
0.304920430909091,0.09297646918578573,2005,05-228,2005-07-08,7,8,1,0,12,0.1184089
0.18987494414893602,0.036052494415561576,2005,05-228,2005-07-15,8,9,1,0,12,0.1184089
0.18987494414893602,0.036052494415561576,2005,05-228,2005-07-19,9,10,1,1,12,0.1184089
0.7098788251503159,0.5039279463967927,2004,04-776,2004-03-31,1,2,0,0,4,0.5570342
0.7098788251503159,0.5039279463967927,2004,04-776,2004-04-07,2,3,0,0,4,0.5570342
0.6449794508125543,0.41599849197046407,2004,04-776,2004-04-14,3,4,0,0,4,0.5570342
0.6449794508125543,0.41599849197046407,2004,04-776,2004-04-21,4,5,0,0,4,0.5570342
0.5409506647854115,0.2926276217317787,2004,04-776,2004-04-28,5,6,0,0,4,0.5570342
0.5409506647854115,0.2926276217317787,2004,04-776,2004-05-05,6,7,0,0,4,0.5570342
0.5409506647854115,0.2926276217317787,2004,04-776,2004-05-12,7,8,0,0,4,0.5570342
0.5409506647854115,0.2926276217317787,2004,04-776,2004-05-19,8,9,0,0,4,0.5570342
0.5409506647854115,0.2926276217317787,2004,04-776,2004-05-23,9,10,0,0,4,0.5570342
0.7098788251503159,0.5039279463967927,2004,04-248,2004-03-19,1,2,0,0,3,0.2338403
0.7098788251503159,0.5039279463967927,2004,04-248,2004-03-26,2,3,0,0,3,0.2338403
0.7098788251503159,0.5039279463967927,2004,04-248,2004-04-02,3,4,0,0,3,0.2338403
0.6449794508125543,0.41599849197046407,2004,04-248,2004-04-09,4,5,0,0,3,0.2338403
0.6449794508125543,0.41599849197046407,2004,04-248,2004-04-16,5,6,0,0,3,0.2338403
0.5409506647854115,0.2926276217317787,2004,04-248,2004-04-23,6,7,0,0,3,0.2338403
0.5409506647854115,0.2926276217317787,2004,04-248,2004-04-30,7,8,0,0,3,0.2338403
0.5409506647854115,0.2926276217317787,2004,04-248,2004-05-07,8,9,0,0,3,0.2338403
0.5409506647854115,0.2926276217317787,2004,04-248,2004-05-11,9,10,0,0,3,0.2338403
0.5023904043678165,0.2523961184008581,2007,07-091,2007-04-09,1,2,0,0,3,0.7738096
0.5023904043678165,0.2523961184008581,2007,07-091,2007-04-16,2,3,0,0,3,0.7738096
0.5023904043678165,0.2523961184008581,2007,07-091,2007-04-23,3,4,0,0,3,0.7738096
0.5023904043678165,0.2523961184008581,2007,07-091,2007-04-30,4,5,0,0,3,0.7738096
0.5023904043678165,0.2523961184008581,2007,07-091,2007-05-07,5,6,0,0,3,0.7738096
0.5023904043678165,0.2523961184008581,2007,07-091,2007-05-14,6,7,0,0,3,0.7738096
0.5023904043678165,0.2523961184008581,2007,07-091,2007-05-21,7,8,0,0,3,0.7738096
0.5023904043678165,0.2523961184008581,2007,07-091,2007-05-28,8,9,0,0,3,0.7738096
0.5023904043678165,0.2523961184008581,2007,07-091,2007-06-01,9,10,0,0,3,0.7738096
0.365692078205128,0.13373069606198545,2005,05-085,2005-04-03,1,2,0,0,2,0.01110083
0.365692078205128,0.13373069606198545,2005,05-085,2005-04-10,2,3,0,0,2,0.01110083
0.365692078205128,0.13373069606198545,2005,05-085,2005-04-17,3,4,0,0,2,0.01110083
0.4666591533723983,0.21777076542624357,2005,05-085,2005-04-24,4,5,0,0,2,0.01110083
0.4666591533723983,0.21777076542624357,2005,05-085,2005-05-01,5,6,0,0,2,0.01110083
0.4666591533723983,0.21777076542624357,2005,05-085,2005-05-08,6,7,0,0,2,0.01110083
0.4666591533723983,0.21777076542624357,2005,05-085,2005-05-15,7,8,0,0,2,0.01110083
0.44651000918367345,0.19937118830120415,2005,05-085,2005-05-22,8,9,0,0,2,0.01110083
0.44651000918367345,0.19937118830120415,2005,05-085,2005-05-26,9,10,0,0,2,0.01110083
0.358219151327955,0.12832096037812032,2003,03-184,2003-05-04,3,4,0,0,3,0.08485273
0.358219151327955,0.12832096037812032,2003,03-184,2003-05-11,4,5,0,0,3,0.08485273
0.358219151327955,0.12832096037812032,2003,03-184,2003-05-18,5,6,0,0,3,0.08485273
0.358219151327955,0.12832096037812032,2003,03-184,2003-05-25,6,7,0,0,3,0.08485273
0.358219151327955,0.12832096037812032,2003,03-184,2003-06-01,7,8,0,0,3,0.08485273
0.358219151327955,0.12832096037812032,2003,03-184,2003-06-08,8,9,0,0,3,0.08485273
0.358219151327955,0.12832096037812032,2003,03-184,2003-06-12,9,10,0,0,3,0.08485273
0.7614988138784438,0.5798804435382767,2009,09-404,2009-03-20,1,2,0,0,3,0.5685005
0.9919944810755342,0.9840530504843185,2009,09-404,2009-03-27,2,3,0,0,3,0.5685005
0.9919944810755342,0.9840530504843185,2009,09-404,2009-04-03,3,4,0,0,3,0.5685005
0.9727311522387908,0.9462058945358056,2009,09-404,2009-04-10,4,5,0,0,3,0.5685005
0.9727311522387908,0.9462058945358056,2009,09-404,2009-04-17,5,6,0,0,3,0.5685005
0.9727311522387908,0.9462058945358056,2009,09-404,2009-04-24,6,7,0,0,3,0.5685005
0.9727311522387908,0.9462058945358056,2009,09-404,2009-05-01,7,8,0,0,3,0.5685005
0.9727311522387908,0.9462058945358056,2009,09-404,2009-05-08,8,9,0,0,3,0.5685005
0.9727311522387908,0.9462058945358056,2009,09-404,2009-05-12,9,10,0,0,3,0.5685005
0.5986604021200144,0.3583942770664973,2007,07-711,2007-03-30,1,2,0,0,6,0.5957341
0.5986604021200144,0.3583942770664973,2007,07-711,2007-04-06,2,3,0,0,6,0.5957341
0.5023904043678165,0.2523961184008581,2007,07-711,2007-04-13,3,4,0,0,6,0.5957341
0.5023904043678165,0.2523961184008581,2007,07-711,2007-04-20,4,5,0,0,6,0.5957341
0.5023904043678165,0.2523961184008581,2007,07-711,2007-04-27,5,6,0,0,6,0.5957341
0.5023904043678165,0.2523961184008581,2007,07-711,2007-05-04,6,7,0,0,6,0.5957341
0.5023904043678165,0.2523961184008581,2007,07-711,2007-05-11,7,8,0,0,6,0.5957341
0.5023904043678165,0.2523961184008581,2007,07-711,2007-05-18,8,9,0,0,6,0.5957341
0.5023904043678165,0.2523961184008581,2007,07-711,2007-05-22,9,10,0,0,6,0.5957341
0.7098788251503159,0.5039279463967927,2004,04-875,2004-03-31,1,2,0,0,3,0.5750951
0.7098788251503159,0.5039279463967927,2004,04-875,2004-04-07,2,3,0,0,3,0.5750951
0.6449794508125543,0.41599849197046407,2004,04-875,2004-04-14,3,4,0,0,3,0.5750951
0.6449794508125543,0.41599849197046407,2004,04-875,2004-04-21,4,5,0,0,3,0.5750951
0.5409506647854115,0.2926276217317787,2004,04-875,2004-04-28,5,6,0,0,3,0.5750951
0.5409506647854115,0.2926276217317787,2004,04-875,2004-05-05,6,7,0,0,3,0.5750951
0.5409506647854115,0.2926276217317787,2004,04-875,2004-05-12,7,8,0,0,3,0.5750951
0.5409506647854115,0.2926276217317787,2004,04-875,2004-05-19,8,9,0,0,3,0.5750951
0.5409506647854115,0.2926276217317787,2004,04-875,2004-05-23,9,10,0,0,3,0.5750951
0.7614988138784438,0.5798804435382767,2009,09-969,2009-03-12,1,2,0,0,3,0.4892125
0.7614988138784438,0.5798804435382767,2009,09-969,2009-03-19,2,3,0,0,3,0.4892125
0.9919944810755342,0.9840530504843185,2009,09-969,2009-03-26,3,4,0,0,3,0.4892125
0.9919944810755342,0.9840530504843185,2009,09-969,2009-04-02,4,5,0,0,3,0.4892125
0.9727311522387908,0.9462058945358056,2009,09-969,2009-04-09,5,6,0,0,3,0.4892125
0.9727311522387908,0.9462058945358056,2009,09-969,2009-04-16,6,7,0,0,3,0.4892125
0.9727311522387908,0.9462058945358056,2009,09-969,2009-04-23,7,8,0,0,3,0.4892125
0.9727311522387908,0.9462058945358056,2009,09-969,2009-04-30,8,9,0,0,3,0.4892125
0.9727311522387908,0.9462058945358056,2009,09-969,2009-05-04,9,10,0,0,3,0.4892125
0.724907654698858,0.5254911078409987,2008,08-216,2008-03-03,1,2,0,0,6,0.7110482
1.6485052466546048,2.7175695482477598,2008,08-216,2008-03-10,2,3,0,0,6,0.7110482
1.95856323618153,3.8359699501218674,2008,08-216,2008-03-17,3,4,0,0,6,0.7110482
1.95856323618153,3.8359699501218674,2008,08-216,2008-03-24,4,5,0,0,6,0.7110482
1.95856323618153,3.8359699501218674,2008,08-216,2008-03-31,5,6,0,0,6,0.7110482
1.95856323618153,3.8359699501218674,2008,08-216,2008-04-07,6,7,0,0,6,0.7110482
1.95856323618153,3.8359699501218674,2008,08-216,2008-04-14,7,8,0,0,6,0.7110482
1.95856323618153,3.8359699501218674,2008,08-216,2008-04-21,8,9,0,0,6,0.7110482
1.95856323618153,3.8359699501218674,2008,08-216,2008-04-25,9,10,0,0,6,0.7110482
0.6449794508125543,0.41599849197046407,2004,04-919,2004-04-08,1,2,0,0,4,0.7167301
0.6449794508125543,0.41599849197046407,2004,04-919,2004-04-15,2,3,0,0,4,0.7167301
0.5409506647854115,0.2926276217317787,2004,04-919,2004-04-22,3,4,0,0,4,0.7167301
0.5409506647854115,0.2926276217317787,2004,04-919,2004-04-29,4,5,0,0,4,0.7167301
0.5409506647854115,0.2926276217317787,2004,04-919,2004-05-06,5,6,0,0,4,0.7167301
0.5409506647854115,0.2926276217317787,2004,04-919,2004-05-13,6,7,0,0,4,0.7167301
0.5409506647854115,0.2926276217317787,2004,04-919,2004-05-20,7,8,0,0,4,0.7167301
0.5409506647854115,0.2926276217317787,2004,04-919,2004-05-27,8,9,0,0,4,0.7167301
0.5409506647854115,0.2926276217317787,2004,04-919,2004-05-31,9,10,0,0,4,0.7167301
0.7098788251503159,0.5039279463967927,2004,04-390,2004-03-23,1,2,0,0,3,0.3526616
0.7098788251503159,0.5039279463967927,2004,04-390,2004-03-30,2,3,0,0,3,0.3526616
0.7098788251503159,0.5039279463967927,2004,04-390,2004-04-06,3,4,0,0,3,0.3526616
0.6449794508125543,0.41599849197046407,2004,04-390,2004-04-13,4,5,0,0,3,0.3526616
0.6449794508125543,0.41599849197046407,2004,04-390,2004-04-20,5,6,0,0,3,0.3526616
0.5409506647854115,0.2926276217317787,2004,04-390,2004-04-27,6,7,0,0,3,0.3526616
0.5409506647854115,0.2926276217317787,2004,04-390,2004-05-04,7,8,0,0,3,0.3526616
0.5409506647854115,0.2926276217317787,2004,04-390,2004-05-11,8,9,0,0,3,0.3526616
0.5409506647854115,0.2926276217317787,2004,04-390,2004-05-15,9,10,0,0,3,0.3526616
0.5372647151468037,0.28865337414177616,2013,13-655,2013-03-26,1,2,0,0,3,0.3746518
0.6222951007715146,0.3872511924442295,2013,13-655,2013-04-02,2,3,0,0,3,0.3746518
0.5864199974171755,0.34388841337076015,2013,13-655,2013-04-09,3,4,0,1,3,0.3746518
0.5864199974171755,0.34388841337076015,2013,13-655,2013-04-11,4,5,1,1,3,0.3746518
0.44651000918367345,0.19937118830120415,2005,05-546,2005-06-01,1,2,0,1,9,0.2650324
0.44651000918367345,0.19937118830120415,2005,05-546,2005-06-08,2,3,1,0,9,0.2650324
0.44651000918367345,0.19937118830120415,2005,05-546,2005-06-15,3,4,1,0,9,0.2650324
0.304920430909091,0.09297646918578573,2005,05-546,2005-06-22,4,5,1,0,9,0.2650324
0.304920430909091,0.09297646918578573,2005,05-546,2005-06-29,5,6,1,0,9,0.2650324
0.304920430909091,0.09297646918578573,2005,05-546,2005-07-06,6,7,1,0,9,0.2650324
0.18987494414893602,0.036052494415561576,2005,05-546,2005-07-13,7,8,1,0,9,0.2650324
0.18987494414893602,0.036052494415561576,2005,05-546,2005-07-20,8,9,1,0,9,0.2650324
0.18987494414893602,0.036052494415561576,2005,05-546,2005-07-24,9,10,1,1,9,0.2650324
0.7098788251503159,0.5039279463967927,2004,04-528,2004-03-21,1,2,0,0,3,0.296578
0.7098788251503159,0.5039279463967927,2004,04-528,2004-03-28,2,3,0,0,3,0.296578
0.7098788251503159,0.5039279463967927,2004,04-528,2004-04-04,3,4,0,0,3,0.296578
0.6449794508125543,0.41599849197046407,2004,04-528,2004-04-11,4,5,0,0,3,0.296578
0.6449794508125543,0.41599849197046407,2004,04-528,2004-04-18,5,6,0,0,3,0.296578
0.5409506647854115,0.2926276217317787,2004,04-528,2004-04-25,6,7,0,0,3,0.296578
0.5409506647854115,0.2926276217317787,2004,04-528,2004-05-02,7,8,0,0,3,0.296578
0.5409506647854115,0.2926276217317787,2004,04-528,2004-05-09,8,9,0,0,3,0.296578
0.5409506647854115,0.2926276217317787,2004,04-528,2004-05-13,9,10,0,0,3,0.296578
0.8947518480943555,0.8005808696682646,2012,12-121,2012-03-08,1,2,0,1,6,0.2863835
1.0676350376923078,1.1398445737082556,2012,12-121,2012-03-15,2,3,1,0,6,0.2863835
1.0676350376923078,1.1398445737082556,2012,12-121,2012-03-16,3,4,1,1,6,0.2863835
0.7098788251503159,0.5039279463967927,2004,04-531,2004-03-23,1,2,0,0,6,0.2675855
0.7098788251503159,0.5039279463967927,2004,04-531,2004-03-30,2,3,0,0,6,0.2675855
0.7098788251503159,0.5039279463967927,2004,04-531,2004-04-06,3,4,0,0,6,0.2675855
0.6449794508125543,0.41599849197046407,2004,04-531,2004-04-13,4,5,0,0,6,0.2675855
0.6449794508125543,0.41599849197046407,2004,04-531,2004-04-20,5,6,0,0,6,0.2675855
0.5409506647854115,0.2926276217317787,2004,04-531,2004-04-27,6,7,0,0,6,0.2675855
0.5409506647854115,0.2926276217317787,2004,04-531,2004-05-04,7,8,0,0,6,0.2675855
0.5409506647854115,0.2926276217317787,2004,04-531,2004-05-11,8,9,0,0,6,0.2675855
0.5409506647854115,0.2926276217317787,2004,04-531,2004-05-15,9,10,0,0,6,0.2675855
0.7098788251503159,0.5039279463967927,2004,04-790,2004-03-27,1,2,0,0,2,0.5090304
0.7098788251503159,0.5039279463967927,2004,04-790,2004-04-03,2,3,0,0,2,0.5090304
0.6449794508125543,0.41599849197046407,2004,04-790,2004-04-10,3,4,0,0,2,0.5090304
0.6449794508125543,0.41599849197046407,2004,04-790,2004-04-17,4,5,0,0,2,0.5090304
0.5409506647854115,0.2926276217317787,2004,04-790,2004-04-24,5,6,0,0,2,0.5090304
0.5409506647854115,0.2926276217317787,2004,04-790,2004-05-01,6,7,0,0,2,0.5090304
0.5409506647854115,0.2926276217317787,2004,04-790,2004-05-08,7,8,0,0,2,0.5090304
