RefittedChl,RefittedChl_2,PROPORTIONALRANK,HatchAsync,Chl,Chl_2,SST,SST_2,Event,BroodReduction,NIDO,WORKYEAR,DATE,Time0,Time
-0.16348338010551147,0.026726815570723143,0.5570342,4,0.5409506647854115,0.2926276217317787,26.241843874,688.6343699073914,0,0,04-742,2004,2004-04-28,5,6
-0.16348338010551147,0.026726815570723143,0.5570342,4,0.5409506647854115,0.2926276217317787,26.785165642,717.4450984693772,0,0,04-742,2004,2004-05-05,6,7
-0.17963397077335616,0.03226836345580297,0.5570342,4,0.5409506647854115,0.2926276217317787,26.978206433333334,727.823622359548,0,0,04-742,2004,2004-05-12,7,8
-0.17963397077335616,0.03226836345580297,0.5570342,4,0.5409506647854115,0.2926276217317787,26.978206433333334,727.823622359548,0,0,04-742,2004,2004-05-19,8,9
-0.20552214547367223,0.04223935228010129,0.5570342,4,0.5409506647854115,0.2926276217317787,27.584427534,760.9006423784973,0,0,04-742,2004,2004-05-23,9,10
-0.22401002464308598,0.05018049114059599,0.2220166,2,0.44651000918367345,0.19937118830120415,26.19600163333333,686.2305015736026,0,0,05-415,2005,2005-05-26,1,2
-0.2058350803323043,0.04236808029540617,0.2220166,2,0.44651000918367345,0.19937118830120415,27.60962832,762.291575968546,0,0,05-415,2005,2005-06-02,2,3
-0.2228898797797763,0.049679898508243135,0.2220166,2,0.44651000918367345,0.19937118830120415,27.89664095,778.2225762932168,0,0,05-415,2005,2005-06-09,3,4
-0.2228898797797763,0.049679898508243135,0.2220166,2,0.44651000918367345,0.19937118830120415,27.89664095,778.2225762932168,0,0,05-415,2005,2005-06-16,4,5
-0.2290242575755309,0.052452110558023124,0.2220166,2,0.304920430909091,0.09297646918578573,27.89664095,778.2225762932168,0,0,05-415,2005,2005-06-23,5,6
-0.2290242575755309,0.052452110558023124,0.2220166,2,0.304920430909091,0.09297646918578573,27.926948418000002,779.9144479416328,0,0,05-415,2005,2005-06-30,6,7
-0.2290242575755309,0.052452110558023124,0.2220166,2,0.304920430909091,0.09297646918578573,27.926948418000002,779.9144479416328,0,1,05-415,2005,2005-07-07,7,8
-0.2290242575755309,0.052452110558023124,0.2220166,2,0.18987494414893602,0.036052494415561576,27.926948418000002,779.9144479416328,1,0,05-415,2005,2005-07-14,8,9
-0.2642596561426168,0.06983316586461408,0.2220166,2,0.18987494414893602,0.036052494415561576,27.926948418000002,779.9144479416328,1,1,05-415,2005,2005-07-18,9,10
0.1472590731410636,0.02168523462236512,0.7379603,8,1.95856323618153,3.8359699501218674,23.7305493525,563.1389725714381,0,0,08-102,2008,2008-03-11,1,2
0.1472590731410636,0.02168523462236512,0.7379603,8,1.95856323618153,3.8359699501218674,23.7305493525,563.1389725714381,0,0,08-102,2008,2008-03-18,2,3
0.1472590731410636,0.02168523462236512,0.7379603,8,1.95856323618153,3.8359699501218674,24.452541232,597.9267727026602,0,0,08-102,2008,2008-03-25,3,4
0.1472590731410636,0.02168523462236512,0.7379603,8,1.95856323618153,3.8359699501218674,24.506658876,600.5763292646295,0,0,08-102,2008,2008-04-01,4,5
0.17459755169230734,0.030484305056947932,0.7379603,8,1.95856323618153,3.8359699501218674,25.10753495,630.3883112654715,0,0,08-102,2008,2008-04-08,5,6
0.3081720661740125,0.09497002236995994,0.7379603,8,1.95856323618153,3.8359699501218674,26.448605418333333,699.5287285746913,0,0,08-102,2008,2008-04-15,6,7
0.3081720661740125,0.09497002236995994,0.7379603,8,1.95856323618153,3.8359699501218674,26.86063551,721.4937400010731,0,0,08-102,2008,2008-04-22,7,8
0.3012976989402688,0.09078030338670086,0.7379603,8,2.0684199089070985,4.27836091956325,27.7028297975,767.4467787892539,0,0,08-102,2008,2008-04-29,8,9
0.3012976989402688,0.09078030338670086,0.7379603,8,2.0684199089070985,4.27836091956325,27.7028297975,767.4467787892539,0,0,08-102,2008,2008-05-03,9,10
-0.2249323226880308,0.05059454978983241,0.3667924,3,0.462953,0.214325480209,28.070553455000002,787.9559712700126,0,0,10-347,2010,2010-05-17,1,2
-0.1989226438266934,0.03957021822700152,0.3667924,3,0.462953,0.214325480209,28.396783228,806.3772976980221,0,0,10-347,2010,2010-05-24,2,3
-0.2033156836623258,0.041337267223078934,0.3667924,3,0.462953,0.214325480209,28.396783228,806.3772976980221,0,0,10-347,2010,2010-05-31,3,4
-0.2033156836623258,0.041337267223078934,0.3667924,3,0.462953,0.214325480209,28.396783228,806.3772976980221,0,0,10-347,2010,2010-06-07,4,5
-0.20836991641648753,0.043418022067414,0.3667924,3,0.49827775316126277,0.2482807192954363,28.396783228,806.3772976980221,0,0,10-347,2010,2010-06-14,5,6
-0.20836991641648753,0.043418022067414,0.3667924,3,0.3875665871721413,0.150207859492261,28.758930158000002,827.076063832722,0,0,10-347,2010,2010-06-21,6,7
-0.20836991641648753,0.043418022067414,0.3667924,3,0.3875665871721413,0.150207859492261,29.732825711666667,884.0409248003465,0,0,10-347,2010,2010-06-28,7,8
-0.20836991641648753,0.043418022067414,0.3667924,3,0.211974071428571,0.04493300695800492,29.732825711666667,884.0409248003465,0,0,10-347,2010,2010-07-05,8,9
-0.21614155028734441,0.046717169760616635,0.3667924,3,0.211974071428571,0.04493300695800492,29.732825711666667,884.0409248003465,0,0,10-347,2010,2010-07-09,9,10
0.3012976989402688,0.09078030338670086,0.871577,5,2.5775505316815472,6.643766743371827,27.852890954,775.783534495415,0,0,08-670,2008,2008-05-12,1,2
0.3012976989402688,0.09078030338670086,0.871577,5,2.5775505316815472,6.643766743371827,28.828665926,831.0919790729134,0,0,08-670,2008,2008-05-19,2,3
0.3012976989402688,0.09078030338670086,0.871577,5,2.5775505316815472,6.643766743371827,28.828665926,831.0919790729134,0,0,08-670,2008,2008-05-26,3,4
0.3012976989402688,0.09078030338670086,0.871577,5,2.5775505316815472,6.643766743371827,28.828665926,831.0919790729134,0,0,08-670,2008,2008-06-02,4,5
0.3012976989402688,0.09078030338670086,0.871577,5,1.40948310526316,1.98664262402228,28.828665926,831.0919790729134,0,0,08-670,2008,2008-06-09,5,6
0.3012976989402688,0.09078030338670086,0.871577,5,1.40948310526316,1.98664262402228,28.828665926,831.0919790729134,0,0,08-670,2008,2008-06-16,6,7
0.5666176670862336,0.3210555806542459,0.871577,5,0.7251075235622362,0.5257809207265589,28.828665926,831.0919790729134,0,0,08-670,2008,2008-06-23,7,8
0.5666176670862336,0.3210555806542459,0.871577,5,0.4073683713158234,0.16594898994850654,29.648892002,879.0567969462596,0,1,08-670,2008,2008-06-30,8,9
0.010617256038840053,1.1272612579428557e-4,0.871577,5,0.252615653846154,0.06381466856811989,29.648892002,879.0567969462596,1,1,08-670,2008,2008-07-04,9,10
-0.22401002464308598,0.05018049114059599,0.01433857,3,0.365692078205128,0.13373069606198545,24.85949959,617.9947198652101,0,0,05-073,2005,2005-04-10,1,2
-0.22401002464308598,0.05018049114059599,0.01433857,3,0.365692078205128,0.13373069606198545,25.823421378,666.8490916657473,0,0,05-073,2005,2005-04-17,2,3
-0.22401002464308598,0.05018049114059599,0.01433857,3,0.4666591533723983,0.21777076542624357,26.072961624999998,679.7993278987225,0,0,05-073,2005,2005-04-24,3,4
-0.22401002464308598,0.05018049114059599,0.01433857,3,0.4666591533723983,0.21777076542624357,26.102918845,681.3623722286562,0,0,05-073,2005,2005-05-01,4,5
-0.22401002464308598,0.05018049114059599,0.01433857,3,0.4666591533723983,0.21777076542624357,26.102918845,681.3623722286562,0,0,05-073,2005,2005-05-08,5,6
-0.22401002464308598,0.05018049114059599,0.01433857,3,0.4666591533723983,0.21777076542624357,26.102918845,681.3623722286562,0,0,05-073,2005,2005-05-15,6,7
-0.22401002464308598,0.05018049114059599,0.01433857,3,0.44651000918367345,0.19937118830120415,26.19600163333333,686.2305015736026,0,0,05-073,2005,2005-05-22,7,8
-0.2058350803323043,0.04236808029540617,0.01433857,3,0.44651000918367345,0.19937118830120415,27.60962832,762.291575968546,0,0,05-073,2005,2005-05-29,8,9
-0.2058350803323043,0.04236808029540617,0.01433857,3,0.44651000918367345,0.19937118830120415,27.60962832,762.291575968546,0,0,05-073,2005,2005-06-02,9,10
-0.048928559533372266,0.002394003938010754,0.4510456,3,0.7098788251503159,0.5039279463967927,26.241843874,688.6343699073914,0,0,04-346,2004,2004-03-26,1,2
-0.048928559533372266,0.002394003938010754,0.4510456,3,0.7098788251503159,0.5039279463967927,26.241843874,688.6343699073914,0,0,04-346,2004,2004-04-02,2,3
-0.048928559533372266,0.002394003938010754,0.4510456,3,0.6449794508125543,0.41599849197046407,26.241843874,688.6343699073914,0,0,04-346,2004,2004-04-09,3,4
-0.16348338010551147,0.026726815570723143,0.4510456,3,0.6449794508125543,0.41599849197046407,26.241843874,688.6343699073914,0,0,04-346,2004,2004-04-16,4,5
-0.16348338010551147,0.026726815570723143,0.4510456,3,0.5409506647854115,0.2926276217317787,26.241843874,688.6343699073914,0,0,04-346,2004,2004-04-23,5,6
-0.16348338010551147,0.026726815570723143,0.4510456,3,0.5409506647854115,0.2926276217317787,26.785165642,717.4450984693772,0,0,04-346,2004,2004-04-30,6,7
-0.17963397077335616,0.03226836345580297,0.4510456,3,0.5409506647854115,0.2926276217317787,26.978206433333334,727.823622359548,0,0,04-346,2004,2004-05-07,7,8
-0.17963397077335616,0.03226836345580297,0.4510456,3,0.5409506647854115,0.2926276217317787,26.978206433333334,727.823622359548,0,0,04-346,2004,2004-05-14,8,9
-0.17963397077335616,0.03226836345580297,0.4510456,3,0.5409506647854115,0.2926276217317787,26.978206433333334,727.823622359548,0,0,04-346,2004,2004-05-18,9,10
-0.048928559533372266,0.002394003938010754,0.3526616,3,0.7098788251503159,0.5039279463967927,25.40272533,645.2984541914236,0,0,04-474,2004,2004-03-23,1,2
-0.048928559533372266,0.002394003938010754,0.3526616,3,0.7098788251503159,0.5039279463967927,26.241843874,688.6343699073914,0,0,04-474,2004,2004-03-30,2,3
-0.048928559533372266,0.002394003938010754,0.3526616,3,0.7098788251503159,0.5039279463967927,26.241843874,688.6343699073914,0,0,04-474,2004,2004-04-06,3,4
-0.048928559533372266,0.002394003938010754,0.3526616,3,0.6449794508125543,0.41599849197046407,26.241843874,688.6343699073914,0,0,04-474,2004,2004-04-13,4,5
-0.16348338010551147,0.026726815570723143,0.3526616,3,0.6449794508125543,0.41599849197046407,26.241843874,688.6343699073914,0,0,04-474,2004,2004-04-20,5,6
-0.16348338010551147,0.026726815570723143,0.3526616,3,0.5409506647854115,0.2926276217317787,26.241843874,688.6343699073914,0,0,04-474,2004,2004-04-27,6,7
-0.16348338010551147,0.026726815570723143,0.3526616,3,0.5409506647854115,0.2926276217317787,26.785165642,717.4450984693772,0,0,04-474,2004,2004-05-04,7,8
-0.17963397077335616,0.03226836345580297,0.3526616,3,0.5409506647854115,0.2926276217317787,26.978206433333334,727.823622359548,0,0,04-474,2004,2004-05-11,8,9
-0.17963397077335616,0.03226836345580297,0.3526616,3,0.5409506647854115,0.2926276217317787,26.978206433333334,727.823622359548,0,0,04-474,2004,2004-05-15,9,10
-0.048928559533372266,0.002394003938010754,0.2675855,3,0.7098788251503159,0.5039279463967927,25.40272533,645.2984541914236,0,0,04-327,2004,2004-03-20,1,2
-0.048928559533372266,0.002394003938010754,0.2675855,3,0.7098788251503159,0.5039279463967927,26.241843874,688.6343699073914,0,0,04-327,2004,2004-03-27,2,3
-0.048928559533372266,0.002394003938010754,0.2675855,3,0.7098788251503159,0.5039279463967927,26.241843874,688.6343699073914,0,0,04-327,2004,2004-04-03,3,4
-0.048928559533372266,0.002394003938010754,0.2675855,3,0.6449794508125543,0.41599849197046407,26.241843874,688.6343699073914,0,0,04-327,2004,2004-04-10,4,5
-0.16348338010551147,0.026726815570723143,0.2675855,3,0.6449794508125543,0.41599849197046407,26.241843874,688.6343699073914,0,0,04-327,2004,2004-04-17,5,6
-0.16348338010551147,0.026726815570723143,0.2675855,3,0.5409506647854115,0.2926276217317787,26.241843874,688.6343699073914,0,0,04-327,2004,2004-04-24,6,7
-0.16348338010551147,0.026726815570723143,0.2675855,3,0.5409506647854115,0.2926276217317787,26.785165642,717.4450984693772,0,0,04-327,2004,2004-05-01,7,8
-0.17963397077335616,0.03226836345580297,0.2675855,3,0.5409506647854115,0.2926276217317787,26.978206433333334,727.823622359548,0,0,04-327,2004,2004-05-08,8,9
-0.17963397077335616,0.03226836345580297,0.2675855,3,0.5409506647854115,0.2926276217317787,26.978206433333334,727.823622359548,0,0,04-327,2004,2004-05-12,9,10
-0.048928559533372266,0.002394003938010754,0.3246198,6,0.7098788251503159,0.5039279463967927,26.241843874,688.6343699073914,0,0,04-157,2004,2004-03-25,1,2
-0.048928559533372266,0.002394003938010754,0.3246198,6,0.7098788251503159,0.5039279463967927,26.241843874,688.6343699073914,0,0,04-157,2004,2004-04-01,2,3
-0.048928559533372266,0.002394003938010754,0.3246198,6,0.6449794508125543,0.41599849197046407,26.241843874,688.6343699073914,0,1,04-157,2004,2004-04-08,3,4
-0.16348338010551147,0.026726815570723143,0.3246198,6,0.6449794508125543,0.41599849197046407,26.241843874,688.6343699073914,1,0,04-157,2004,2004-04-15,4,5
-0.16348338010551147,0.026726815570723143,0.3246198,6,0.5409506647854115,0.2926276217317787,26.241843874,688.6343699073914,1,0,04-157,2004,2004-04-22,5,6
-0.16348338010551147,0.026726815570723143,0.3246198,6,0.5409506647854115,0.2926276217317787,26.785165642,717.4450984693772,1,0,04-157,2004,2004-04-29,6,7
-0.17963397077335616,0.03226836345580297,0.3246198,6,0.5409506647854115,0.2926276217317787,26.978206433333334,727.823622359548,1,0,04-157,2004,2004-05-06,7,8
-0.17963397077335616,0.03226836345580297,0.3246198,6,0.5409506647854115,0.2926276217317787,26.978206433333334,727.823622359548,1,0,04-157,2004,2004-05-13,8,9
-0.17963397077335616,0.03226836345580297,0.3246198,6,0.5409506647854115,0.2926276217317787,26.978206433333334,727.823622359548,1,1,04-157,2004,2004-05-17,9,10
-0.048928559533372266,0.002394003938010754,0.2338403,6,0.7098788251503159,0.5039279463967927,25.40272533,645.2984541914236,0,0,04-006,2004,2004-03-22,1,2
-0.048928559533372266,0.002394003938010754,0.2338403,6,0.7098788251503159,0.5039279463967927,26.241843874,688.6343699073914,0,0,04-006,2004,2004-03-29,2,3
-0.048928559533372266,0.002394003938010754,0.2338403,6,0.7098788251503159,0.5039279463967927,26.241843874,688.6343699073914,0,0,04-006,2004,2004-04-05,3,4
-0.048928559533372266,0.002394003938010754,0.2338403,6,0.6449794508125543,0.41599849197046407,26.241843874,688.6343699073914,0,0,04-006,2004,2004-04-12,4,5
-0.16348338010551147,0.026726815570723143,0.2338403,6,0.6449794508125543,0.41599849197046407,26.241843874,688.6343699073914,0,0,04-006,2004,2004-04-19,5,6
-0.16348338010551147,0.026726815570723143,0.2338403,6,0.5409506647854115,0.2926276217317787,26.241843874,688.6343699073914,0,0,04-006,2004,2004-04-26,6,7
-0.16348338010551147,0.026726815570723143,0.2338403,6,0.5409506647854115,0.2926276217317787,26.785165642,717.4450984693772,0,0,04-006,2004,2004-05-03,7,8
-0.17963397077335616,0.03226836345580297,0.2338403,6,0.5409506647854115,0.2926276217317787,26.978206433333334,727.823622359548,0,0,04-006,2004,2004-05-10,8,9
-0.17963397077335616,0.03226836345580297,0.2338403,6,0.5409506647854115,0.2926276217317787,26.978206433333334,727.823622359548,0,0,04-006,2004,2004-05-14,9,10
-0.12344791641126948,0.015239388066283777,0.7363375,8,0.870756937815976,0.7582176447546555,25.00995375,625.4977865771391,0,0,06-256,2006,2006-03-16,1,2
-0.12344791641126948,0.015239388066283777,0.7363375,8,0.870756937815976,0.7582176447546555,25.00995375,625.4977865771391,0,0,06-256,2006,2006-03-23,2,3
-0.07020386877890407,0.004928583191525581,0.7363375,8,0.870756937815976,0.7582176447546555,24.49681586,600.0939872787476,0,0,06-256,2006,2006-03-30,3,4
-0.08505364648249467,0.007234122779969177,0.7363375,8,0.870756937815976,0.7582176447546555,24.98802805,624.4015458275868,0,0,06-256,2006,2006-04-06,4,5
-0.08505364648249467,0.007234122779969177,0.7363375,8,0.870756937815976,0.7582176447546555,25.89471589,670.5363110238185,0,0,06-256,2006,2006-04-13,5,6
-0.08505364648249467,0.007234122779969177,0.7363375,8,0.9419394031992855,0.8872498392994261,26.554128028333334,705.121715345118,0,0,06-256,2006,2006-04-20,6,7
-0.08505364648249467,0.007234122779969177,0.7363375,8,0.9419394031992855,0.8872498392994261,27.256566966666668,742.9204428083846,0,0,06-256,2006,2006-04-27,7,8
-0.08505364648249467,0.007234122779969177,0.7363375,8,0.9419394031992855,0.8872498392994261,27.266828726,743.4799487730188,0,0,06-256,2006,2006-05-04,8,9
-0.08505364648249467,0.007234122779969177,0.7363375,8,0.9419394031992855,0.8872498392994261,27.487834925,755.5810688640498,0,0,06-256,2006,2006-05-08,9,10
-0.22401002464308598,0.05018049114059599,0.1184089,12,0.44651000918367345,0.19937118830120415,26.19600163333333,686.2305015736026,0,1,05-228,2005,2005-05-27,1,2
-0.2058350803323043,0.04236808029540617,0.1184089,12,0.44651000918367345,0.19937118830120415,27.60962832,762.291575968546,1,0,05-228,2005,2005-06-03,2,3
-0.2228898797797763,0.049679898508243135,0.1184089,12,0.44651000918367345,0.19937118830120415,27.89664095,778.2225762932168,1,0,05-228,2005,2005-06-10,3,4
-0.2228898797797763,0.049679898508243135,0.1184089,12,0.44651000918367345,0.19937118830120415,27.89664095,778.2225762932168,1,0,05-228,2005,2005-06-17,4,5
-0.2290242575755309,0.052452110558023124,0.1184089,12,0.304920430909091,0.09297646918578573,27.89664095,778.2225762932168,1,0,05-228,2005,2005-06-24,5,6
-0.2290242575755309,0.052452110558023124,0.1184089,12,0.304920430909091,0.09297646918578573,27.926948418000002,779.9144479416328,1,0,05-228,2005,2005-07-01,6,7
-0.2290242575755309,0.052452110558023124,0.1184089,12,0.304920430909091,0.09297646918578573,27.926948418000002,779.9144479416328,1,0,05-228,2005,2005-07-08,7,8
-0.2290242575755309,0.052452110558023124,0.1184089,12,0.18987494414893602,0.036052494415561576,27.926948418000002,779.9144479416328,1,0,05-228,2005,2005-07-15,8,9
-0.2642596561426168,0.06983316586461408,0.1184089,12,0.18987494414893602,0.036052494415561576,27.926948418000002,779.9144479416328,1,1,05-228,2005,2005-07-19,9,10
-0.048928559533372266,0.002394003938010754,0.5570342,4,0.7098788251503159,0.5039279463967927,26.241843874,688.6343699073914,0,0,04-776,2004,2004-03-31,1,2
-0.048928559533372266,0.002394003938010754,0.5570342,4,0.7098788251503159,0.5039279463967927,26.241843874,688.6343699073914,0,0,04-776,2004,2004-04-07,2,3
-0.048928559533372266,0.002394003938010754,0.5570342,4,0.6449794508125543,0.41599849197046407,26.241843874,688.6343699073914,0,0,04-776,2004,2004-04-14,3,4
-0.16348338010551147,0.026726815570723143,0.5570342,4,0.6449794508125543,0.41599849197046407,26.241843874,688.6343699073914,0,0,04-776,2004,2004-04-21,4,5
-0.16348338010551147,0.026726815570723143,0.5570342,4,0.5409506647854115,0.2926276217317787,26.241843874,688.6343699073914,0,0,04-776,2004,2004-04-28,5,6
-0.16348338010551147,0.026726815570723143,0.5570342,4,0.5409506647854115,0.2926276217317787,26.785165642,717.4450984693772,0,0,04-776,2004,2004-05-05,6,7
-0.17963397077335616,0.03226836345580297,0.5570342,4,0.5409506647854115,0.2926276217317787,26.978206433333334,727.823622359548,0,0,04-776,2004,2004-05-12,7,8
-0.17963397077335616,0.03226836345580297,0.5570342,4,0.5409506647854115,0.2926276217317787,26.978206433333334,727.823622359548,0,0,04-776,2004,2004-05-19,8,9
-0.20552214547367223,0.04223935228010129,0.5570342,4,0.5409506647854115,0.2926276217317787,27.584427534,760.9006423784973,0,0,04-776,2004,2004-05-23,9,10
-0.048928559533372266,0.002394003938010754,0.2338403,3,0.7098788251503159,0.5039279463967927,25.40272533,645.2984541914236,0,0,04-248,2004,2004-03-19,1,2
-0.048928559533372266,0.002394003938010754,0.2338403,3,0.7098788251503159,0.5039279463967927,26.241843874,688.6343699073914,0,0,04-248,2004,2004-03-26,2,3
-0.048928559533372266,0.002394003938010754,0.2338403,3,0.7098788251503159,0.5039279463967927,26.241843874,688.6343699073914,0,0,04-248,2004,2004-04-02,3,4
-0.048928559533372266,0.002394003938010754,0.2338403,3,0.6449794508125543,0.41599849197046407,26.241843874,688.6343699073914,0,0,04-248,2004,2004-04-09,4,5
-0.16348338010551147,0.026726815570723143,0.2338403,3,0.6449794508125543,0.41599849197046407,26.241843874,688.6343699073914,0,0,04-248,2004,2004-04-16,5,6
-0.16348338010551147,0.026726815570723143,0.2338403,3,0.5409506647854115,0.2926276217317787,26.241843874,688.6343699073914,0,0,04-248,2004,2004-04-23,6,7
-0.16348338010551147,0.026726815570723143,0.2338403,3,0.5409506647854115,0.2926276217317787,26.785165642,717.4450984693772,0,0,04-248,2004,2004-04-30,7,8
-0.17963397077335616,0.03226836345580297,0.2338403,3,0.5409506647854115,0.2926276217317787,26.978206433333334,727.823622359548,0,0,04-248,2004,2004-05-07,8,9
-0.17963397077335616,0.03226836345580297,0.2338403,3,0.5409506647854115,0.2926276217317787,26.978206433333334,727.823622359548,0,0,04-248,2004,2004-05-11,9,10
-0.15778632160402548,0.024896523285328955,0.7738096,3,0.5023904043678165,0.2523961184008581,25.798662336666666,665.5709783613431,0,0,07-091,2007,2007-04-09,1,2
-0.1911607382220511,0.03654242783759955,0.7738096,3,0.5023904043678165,0.2523961184008581,25.88440299,670.002318148721,0,0,07-091,2007,2007-04-16,2,3
-0.1911607382220511,0.03654242783759955,0.7738096,3,0.5023904043678165,0.2523961184008581,25.88440299,670.002318148721,0,0,07-091,2007,2007-04-23,3,4
-0.1911607382220511,0.03654242783759955,0.7738096,3,0.5023904043678165,0.2523961184008581,25.88440299,670.002318148721,0,0,07-091,2007,2007-04-30,4,5
-0.21511809286769373,0.0462757938790337,0.7738096,3,0.5023904043678165,0.2523961184008581,26.711822559999998,713.5214644769248,0,0,07-091,2007,2007-05-07,5,6
-0.21511809286769373,0.0462757938790337,0.7738096,3,0.5023904043678165,0.2523961184008581,27.1737908375,738.414908480199,0,0,07-091,2007,2007-05-14,6,7
-0.21511809286769373,0.0462757938790337,0.7738096,3,0.5023904043678165,0.2523961184008581,28.071631053333334,788.0164699944684,0,0,07-091,2007,2007-05-21,7,8
-0.21511809286769373,0.0462757938790337,0.7738096,3,0.5023904043678165,0.2523961184008581,28.513604177999998,813.0256232196589,0,0,07-091,2007,2007-05-28,8,9
