Wind,Wind_2,WORKYEAR,NIDO,DATE,Time0,Time,Event,BroodReduction,HatchAsync,PROPORTIONALRANK
3.9188291762,15.357222112236371,1991,91-373,1991-04-14,1,2,0,0,6,0.325218469
3.9188291762,15.357222112236371,1991,91-373,1991-04-21,2,3,0,1,6,0.325218469
3.9188291762,15.357222112236371,1991,91-373,1991-04-28,3,4,1,0,6,0.325218469
3.9188291762,15.357222112236371,1991,91-373,1991-05-05,4,5,1,0,6,0.325218469
3.9188291762,15.357222112236371,1991,91-373,1991-05-12,5,6,1,0,6,0.325218469
2.9543828616,8.728378092915806,1991,91-373,1991-05-19,6,7,1,0,6,0.325218469
2.9543828616,8.728378092915806,1991,91-373,1991-05-26,7,8,1,0,6,0.325218469
2.9543828616,8.728378092915806,1991,91-373,1991-06-02,8,9,1,0,6,0.325218469
2.9543828616,8.728378092915806,1991,91-373,1991-06-06,9,10,1,1,6,0.325218469
3.9188291762,15.357222112236371,1991,91-083,1991-03-29,1,2,0,0,3,0.10674157
3.9188291762,15.357222112236371,1991,91-083,1991-04-05,2,3,0,0,3,0.10674157
3.9188291762,15.357222112236371,1991,91-083,1991-04-12,3,4,0,0,3,0.10674157
3.9188291762,15.357222112236371,1991,91-083,1991-04-19,4,5,0,0,3,0.10674157
3.9188291762,15.357222112236371,1991,91-083,1991-04-26,5,6,0,0,3,0.10674157
3.9188291762,15.357222112236371,1991,91-083,1991-05-03,6,7,0,0,3,0.10674157
3.9188291762,15.357222112236371,1991,91-083,1991-05-10,7,8,0,0,3,0.10674157
2.9543828616,8.728378092915806,1991,91-083,1991-05-17,8,9,0,0,3,0.10674157
2.9543828616,8.728378092915806,1991,91-083,1991-05-21,9,10,0,0,3,0.10674157
4.602271759,21.180905343688952,1990,90-146,1990-03-31,1,2,0,0,3,0.268795043
3.3472222223333334,11.2038966056821,1990,90-146,1990-04-07,2,3,0,0,3,0.268795043
3.3472222223333334,11.2038966056821,1990,90-146,1990-04-14,3,4,0,0,3,0.268795043
3.3472222223333334,11.2038966056821,1990,90-146,1990-04-21,4,5,0,0,3,0.268795043
3.3472222223333334,11.2038966056821,1990,90-146,1990-04-28,5,6,0,0,3,0.268795043
3.3472222223333334,11.2038966056821,1990,90-146,1990-05-05,6,7,0,0,3,0.268795043
3.3472222223333334,11.2038966056821,1990,90-146,1990-05-12,7,8,0,0,3,0.268795043
3.3472222223333334,11.2038966056821,1990,90-146,1990-05-19,8,9,0,0,3,0.268795043
2.763888889,7.639081790737654,1990,90-146,1990-05-23,9,10,0,0,3,0.268795043
4.602271759,21.180905343688952,1990,90-035,1990-03-25,1,2,0,0,3,0.216271877
4.602271759,21.180905343688952,1990,90-035,1990-04-01,2,3,0,0,3,0.216271877
3.3472222223333334,11.2038966056821,1990,90-035,1990-04-08,3,4,0,0,3,0.216271877
3.3472222223333334,11.2038966056821,1990,90-035,1990-04-15,4,5,0,1,3,0.216271877
3.3472222223333334,11.2038966056821,1990,90-035,1990-04-22,5,6,1,0,3,0.216271877
3.3472222223333334,11.2038966056821,1990,90-035,1990-04-29,6,7,1,0,3,0.216271877
3.3472222223333334,11.2038966056821,1990,90-035,1990-05-06,7,8,1,0,3,0.216271877
3.3472222223333334,11.2038966056821,1990,90-035,1990-05-13,8,9,1,0,3,0.216271877
3.3472222223333334,11.2038966056821,1990,90-035,1990-05-17,9,10,1,1,3,0.216271877
3.9331073446000002,15.469333384146465,1993,93-491,1993-04-30,1,2,0,0,4,0.447606713
3.9331073446000002,15.469333384146465,1993,93-491,1993-05-07,2,3,0,0,4,0.447606713
3.9331073446000002,15.469333384146465,1993,93-491,1993-05-14,3,4,0,0,4,0.447606713
3.9331073446000002,15.469333384146465,1993,93-491,1993-05-21,4,5,0,0,4,0.447606713
3.9331073446000002,15.469333384146465,1993,93-491,1993-05-28,5,6,0,0,4,0.447606713
3.9331073446000002,15.469333384146465,1993,93-491,1993-06-04,6,7,0,0,4,0.447606713
3.9331073446000002,15.469333384146465,1993,93-491,1993-06-11,7,8,0,0,4,0.447606713
3.9331073446000002,15.469333384146465,1993,93-491,1993-06-18,8,9,0,0,4,0.447606713
3.9331073446000002,15.469333384146465,1993,93-491,1993-06-22,9,10,0,0,4,0.447606713
3.9188291762,15.357222112236371,1991,91-339,1991-04-06,1,2,0,0,8,0.165418223
3.9188291762,15.357222112236371,1991,91-339,1991-04-13,2,3,0,0,8,0.165418223
3.9188291762,15.357222112236371,1991,91-339,1991-04-20,3,4,0,0,8,0.165418223
3.9188291762,15.357222112236371,1991,91-339,1991-04-27,4,5,0,0,8,0.165418223
3.9188291762,15.357222112236371,1991,91-339,1991-05-04,5,6,0,0,8,0.165418223
3.9188291762,15.357222112236371,1991,91-339,1991-05-11,6,7,0,0,8,0.165418223
2.9543828616,8.728378092915806,1991,91-339,1991-05-18,7,8,0,0,8,0.165418223
2.9543828616,8.728378092915806,1991,91-339,1991-05-25,8,9,0,0,8,0.165418223
2.9543828616,8.728378092915806,1991,91-339,1991-05-29,9,10,0,0,8,0.165418223
3.9331073446000002,15.469333384146465,1993,93-543,1993-05-03,1,2,0,0,3,0.534928858
3.9331073446000002,15.469333384146465,1993,93-543,1993-05-10,2,3,0,0,3,0.534928858
3.9331073446000002,15.469333384146465,1993,93-543,1993-05-17,3,4,0,1,3,0.534928858
3.9331073446000002,15.469333384146465,1993,93-543,1993-05-19,4,5,1,1,3,0.534928858
2.9543828616,8.728378092915806,1991,91-461,1991-05-16,1,2,0,0,6,0.552434444
2.9543828616,8.728378092915806,1991,91-461,1991-05-23,2,3,0,1,6,0.552434444
2.9543828616,8.728378092915806,1991,91-461,1991-05-30,3,4,1,0,6,0.552434444
2.9543828616,8.728378092915806,1991,91-461,1991-05-31,4,5,1,1,6,0.552434444
3.9188291762,15.357222112236371,1991,91-046,1991-04-12,1,2,0,0,2,0.348938823
3.9188291762,15.357222112236371,1991,91-046,1991-04-19,2,3,0,0,2,0.348938823
3.9188291762,15.357222112236371,1991,91-046,1991-04-26,3,4,0,0,2,0.348938823
3.9188291762,15.357222112236371,1991,91-046,1991-05-03,4,5,0,0,2,0.348938823
3.9188291762,15.357222112236371,1991,91-046,1991-05-10,5,6,0,0,2,0.348938823
2.9543828616,8.728378092915806,1991,91-046,1991-05-17,6,7,0,0,2,0.348938823
2.9543828616,8.728378092915806,1991,91-046,1991-05-24,7,8,0,0,2,0.348938823
2.9543828616,8.728378092915806,1991,91-046,1991-05-31,8,9,0,0,2,0.348938823
2.9543828616,8.728378092915806,1991,91-046,1991-06-04,9,10,0,0,2,0.348938823
5.6181264368,31.563344659871063,1998,98-272,1998-03-20,1,2,0,0,4,0.424742281
3.9326831998,15.465997149989168,1998,98-272,1998-03-27,2,3,0,0,4,0.424742281
3.9326831998,15.465997149989168,1998,98-272,1998-04-03,3,4,0,1,4,0.424742281
3.9326831998,15.465997149989168,1998,98-272,1998-04-10,4,5,1,0,4,0.424742281
3.9326831998,15.465997149989168,1998,98-272,1998-04-17,5,6,1,0,4,0.424742281
3.9326831998,15.465997149989168,1998,98-272,1998-04-24,6,7,1,0,4,0.424742281
3.8011888441666666,14.449036629017119,1998,98-272,1998-05-01,7,8,1,0,4,0.424742281
3.8011888441666666,14.449036629017119,1998,98-272,1998-05-08,8,9,1,0,4,0.424742281
3.8011888441666666,14.449036629017119,1998,98-272,1998-05-12,9,10,1,1,4,0.424742281
3.4625468163333335,11.989230455300104,1995,95-145,1995-05-17,1,2,0,0,3,0.202007532
3.4625468163333335,11.989230455300104,1995,95-145,1995-05-24,2,3,0,0,3,0.202007532
2.5860634164,6.68772399364244,1995,95-145,1995-05-31,3,4,0,0,3,0.202007532
2.5860634164,6.68772399364244,1995,95-145,1995-06-07,4,5,0,0,3,0.202007532
2.717464115,7.384611216312733,1995,95-145,1995-06-14,5,6,0,0,3,0.202007532
2.717464115,7.384611216312733,1995,95-145,1995-06-21,6,7,0,0,3,0.202007532
2.717464115,7.384611216312733,1995,95-145,1995-06-28,7,8,0,0,3,0.202007532
2.8136942368571427,7.916875258523099,1995,95-145,1995-07-05,8,9,0,0,3,0.202007532
3.4252873564,11.7325934739137,1995,95-145,1995-07-09,9,10,0,0,3,0.202007532
2.81326644375,7.914468083529771,1994,94-1047,1994-05-12,1,2,0,0,3,0.589351296
2.81326644375,7.914468083529771,1994,94-1047,1994-05-19,2,3,0,0,3,0.589351296
2.81326644375,7.914468083529771,1994,94-1047,1994-05-26,3,4,0,0,3,0.589351296
2.91018244975,8.469161890832913,1994,94-1047,1994-06-02,4,5,0,0,3,0.589351296
2.91018244975,8.469161890832913,1994,94-1047,1994-06-09,5,6,0,0,3,0.589351296
2.91018244975,8.469161890832913,1994,94-1047,1994-06-16,6,7,0,0,3,0.589351296
2.91018244975,8.469161890832913,1994,94-1047,1994-06-23,7,8,0,0,3,0.589351296
2.91018244975,8.469161890832913,1994,94-1047,1994-06-30,8,9,0,0,3,0.589351296
3.23076923075,10.437869822360947,1994,94-1047,1994-07-04,9,10,0,0,3,0.589351296
3.638205257,13.236537492062437,1993,93-156,1993-04-18,1,2,0,0,3,0.392626137
3.9331073446000002,15.469333384146465,1993,93-156,1993-04-25,2,3,0,0,3,0.392626137
3.9331073446000002,15.469333384146465,1993,93-156,1993-05-02,3,4,0,0,3,0.392626137
3.9331073446000002,15.469333384146465,1993,93-156,1993-05-09,4,5,0,0,3,0.392626137
3.9331073446000002,15.469333384146465,1993,93-156,1993-05-16,5,6,0,0,3,0.392626137
3.9331073446000002,15.469333384146465,1993,93-156,1993-05-23,6,7,0,0,3,0.392626137
3.9331073446000002,15.469333384146465,1993,93-156,1993-05-30,7,8,0,0,3,0.392626137
3.9331073446000002,15.469333384146465,1993,93-156,1993-06-06,8,9,0,0,3,0.392626137
3.9331073446000002,15.469333384146465,1993,93-156,1993-06-10,9,10,0,0,3,0.392626137
4.22437531875,17.845346833664163,1994,94-933,1994-03-31,1,2,0,0,7,0.282741725
4.22437531875,17.845346833664163,1994,94-933,1994-04-07,2,3,0,0,7,0.282741725
4.22437531875,17.845346833664163,1994,94-933,1994-04-14,3,4,0,0,7,0.282741725
4.22437531875,17.845346833664163,1994,94-933,1994-04-21,4,5,0,0,7,0.282741725
3.3130755063333335,10.976469310665873,1994,94-933,1994-04-28,5,6,0,0,7,0.282741725
2.4,5.76,1994,94-933,1994-05-05,6,7,0,0,7,0.282741725
2.81326644375,7.914468083529771,1994,94-933,1994-05-12,7,8,0,0,7,0.282741725
2.81326644375,7.914468083529771,1994,94-933,1994-05-19,8,9,0,0,7,0.282741725
2.81326644375,7.914468083529771,1994,94-933,1994-05-23,9,10,0,0,7,0.282741725
4.0131278682,16.105195286523475,1995,95-265,1995-04-14,1,2,0,0,3,0.037013803
4.0131278682,16.105195286523475,1995,95-265,1995-04-21,2,3,0,0,3,0.037013803
4.0131278682,16.105195286523475,1995,95-265,1995-04-28,3,4,0,0,3,0.037013803
4.0131278682,16.105195286523475,1995,95-265,1995-05-05,4,5,0,0,3,0.037013803
4.0131278682,16.105195286523475,1995,95-265,1995-05-12,5,6,0,0,3,0.037013803
3.4625468163333335,11.989230455300104,1995,95-265,1995-05-19,6,7,0,0,3,0.037013803
3.4625468163333335,11.989230455300104,1995,95-265,1995-05-26,7,8,0,0,3,0.037013803
2.5860634164,6.68772399364244,1995,95-265,1995-06-02,8,9,0,0,3,0.037013803
2.5860634164,6.68772399364244,1995,95-265,1995-06-06,9,10,0,0,3,0.037013803
3.638205257,13.236537492062437,1993,93-145,1993-04-09,1,2,0,0,6,0.248382926
3.638205257,13.236537492062437,1993,93-145,1993-04-16,2,3,0,0,6,0.248382926
3.9331073446000002,15.469333384146465,1993,93-145,1993-04-23,3,4,0,1,6,0.248382926
3.9331073446000002,15.469333384146465,1993,93-145,1993-04-30,4,5,1,0,6,0.248382926
3.9331073446000002,15.469333384146465,1993,93-145,1993-05-07,5,6,1,0,6,0.248382926
3.9331073446000002,15.469333384146465,1993,93-145,1993-05-14,6,7,1,0,6,0.248382926
3.9331073446000002,15.469333384146465,1993,93-145,1993-05-21,7,8,1,0,6,0.248382926
3.9331073446000002,15.469333384146465,1993,93-145,1993-05-28,8,9,1,0,6,0.248382926
3.9331073446000002,15.469333384146465,1993,93-145,1993-06-01,9,10,1,1,6,0.248382926
6.2514204545,39.08025769894098,2000,00-554,2000-03-08,1,2,0,0,3,0.6725061
6.2514204545,39.08025769894098,2000,00-554,2000-03-15,2,3,0,0,3,0.6725061
6.2514204545,39.08025769894098,2000,00-554,2000-03-22,3,4,0,0,3,0.6725061
6.2514204545,39.08025769894098,2000,00-554,2000-03-29,4,5,0,0,3,0.6725061
6.2514204545,39.08025769894098,2000,00-554,2000-04-05,5,6,0,0,3,0.6725061
6.2514204545,39.08025769894098,2000,00-554,2000-04-12,6,7,0,0,3,0.6725061
6.2514204545,39.08025769894098,2000,00-554,2000-04-19,7,8,0,0,3,0.6725061
3.7271041872,13.891305622243774,2000,00-554,2000-04-26,8,9,0,0,3,0.6725061
3.428571429,11.7551020437551,2000,00-554,2000-04-30,9,10,0,0,3,0.6725061
3.8146553818333335,14.551595682150015,1996,96-814,1996-04-21,1,2,0,0,3,0.624557257
3.4924682482,12.197334464685175,1996,96-814,1996-04-28,2,3,0,0,3,0.624557257
3.4084836676,11.617760912295948,1996,96-814,1996-05-05,3,4,0,0,3,0.624557257
3.4084836676,11.617760912295948,1996,96-814,1996-05-12,4,5,0,0,3,0.624557257
3.4084836676,11.617760912295948,1996,96-814,1996-05-19,5,6,0,0,3,0.624557257
3.4084836676,11.617760912295948,1996,96-814,1996-05-26,6,7,0,0,3,0.624557257
2.5084883177500004,6.2925136402882265,1996,96-814,1996-06-02,7,8,0,0,3,0.624557257
2.5084883177500004,6.2925136402882265,1996,96-814,1996-06-09,8,9,0,0,3,0.624557257
2.5084883177500004,6.2925136402882265,1996,96-814,1996-06-13,9,10,0,0,3,0.624557257
4.094696969666667,16.766543273397385,1993,93-252,1993-04-06,1,2,0,0,4,0.235446319
3.638205257,13.236537492062437,1993,93-252,1993-04-13,2,3,0,1,4,0.235446319
3.638205257,13.236537492062437,1993,93-252,1993-04-20,3,4,1,0,4,0.235446319
3.638205257,13.236537492062437,1993,93-252,1993-04-21,4,5,1,1,4,0.235446319
3.638205257,13.236537492062437,1993,93-124,1993-04-15,1,2,0,0,3,0.358344108
3.638205257,13.236537492062437,1993,93-124,1993-04-22,2,3,0,0,3,0.358344108
3.9331073446000002,15.469333384146465,1993,93-124,1993-04-29,3,4,0,1,3,0.358344108
3.9331073446000002,15.469333384146465,1993,93-124,1993-05-06,4,5,1,0,3,0.358344108
3.9331073446000002,15.469333384146465,1993,93-124,1993-05-13,5,6,1,0,3,0.358344108
3.9331073446000002,15.469333384146465,1993,93-124,1993-05-20,6,7,1,0,3,0.358344108
3.9331073446000002,15.469333384146465,1993,93-124,1993-05-27,7,8,1,0,3,0.358344108
3.9331073446000002,15.469333384146465,1993,93-124,1993-06-03,8,9,1,0,3,0.358344108
3.9331073446000002,15.469333384146465,1993,93-124,1993-06-07,9,10,1,1,3,0.358344108
6.486167933,42.07037445507749,2001,01-1260,2001-05-19,1,2,0,0,4,0.6632773
6.486167933,42.07037445507749,2001,01-1260,2001-05-26,2,3,0,0,4,0.6632773
6.486167933,42.07037445507749,2001,01-1260,2001-06-02,3,4,0,0,4,0.6632773
6.486167933,42.07037445507749,2001,01-1260,2001-06-09,4,5,0,0,4,0.6632773
3.481308411,12.119508252499346,2001,01-1260,2001-06-16,5,6,0,0,4,0.6632773
2.8763789582,8.273555911175718,2001,01-1260,2001-06-23,6,7,0,0,4,0.6632773
2.8763789582,8.273555911175718,2001,01-1260,2001-06-30,7,8,0,0,4,0.6632773
2.8763789582,8.273555911175718,2001,01-1260,2001-07-07,8,9,0,0,4,0.6632773
4.1285557507499995,17.044972587050893,2001,01-1260,2001-07-11,9,10,0,0,4,0.6632773
3.4625468163333335,11.989230455300104,1995,95-276,1995-05-20,1,2,0,0,3,0.2446675
3.4625468163333335,11.989230455300104,1995,95-276,1995-05-27,2,3,0,1,3,0.2446675
2.5860634164,6.68772399364244,1995,95-276,1995-06-03,3,4,1,0,3,0.2446675
2.5860634164,6.68772399364244,1995,95-276,1995-06-05,4,5,1,1,3,0.2446675
5.6181264368,31.563344659871063,1998,98-208,1998-03-10,1,2,0,0,0,0.333333343
5.6181264368,31.563344659871063,1998,98-208,1998-03-17,2,3,0,0,0,0.333333343
5.6181264368,31.563344659871063,1998,98-208,1998-03-24,3,4,0,0,0,0.333333343
3.9326831998,15.465997149989168,1998,98-208,1998-03-31,4,5,0,1,0,0.333333343
3.9326831998,15.465997149989168,1998,98-208,1998-04-07,5,6,1,0,0,0.333333343
3.9326831998,15.465997149989168,1998,98-208,1998-04-14,6,7,1,0,0,0.333333343
3.9326831998,15.465997149989168,1998,98-208,1998-04-21,7,8,1,0,0,0.333333343
3.9326831998,15.465997149989168,1998,98-208,1998-04-28,8,9,1,0,0,0.333333343
3.8011888441666666,14.449036629017119,1998,98-208,1998-05-02,9,10,1,1,0,0.333333343
3.8146553818333335,14.551595682150015,1996,96-305,1996-03-14,1,2,0,0,5,0.370720178
3.8146553818333335,14.551595682150015,1996,96-305,1996-03-21,2,3,0,0,5,0.370720178
3.8146553818333335,14.551595682150015,1996,96-305,1996-03-28,3,4,0,0,5,0.370720178
3.8146553818333335,14.551595682150015,1996,96-305,1996-04-04,4,5,0,0,5,0.370720178
3.8146553818333335,14.551595682150015,1996,96-305,1996-04-11,5,6,0,0,5,0.370720178
3.8146553818333335,14.551595682150015,1996,96-305,1996-04-18,6,7,0,0,5,0.370720178
3.4924682482,12.197334464685175,1996,96-305,1996-04-25,7,8,0,0,5,0.370720178
3.4084836676,11.617760912295948,1996,96-305,1996-05-02,8,9,0,0,5,0.370720178
3.4084836676,11.617760912295948,1996,96-305,1996-05-06,9,10,0,0,5,0.370720178
2.81326644375,7.914468083529771,1994,94-1086,1994-05-09,1,2,0,0,3,0.69461447
2.81326644375,7.914468083529771,1994,94-1086,1994-05-16,2,3,0,0,3,0.69461447
2.81326644375,7.914468083529771,1994,94-1086,1994-05-23,3,4,0,0,3,0.69461447
2.91018244975,8.469161890832913,1994,94-1086,1994-05-30,4,5,0,0,3,0.69461447
2.91018244975,8.469161890832913,1994,94-1086,1994-06-06,5,6,0,0,3,0.69461447
2.91018244975,8.469161890832913,1994,94-1086,1994-06-13,6,7,0,0,3,0.69461447
2.91018244975,8.469161890832913,1994,94-1086,1994-06-20,7,8,0,0,3,0.69461447
2.91018244975,8.469161890832913,1994,94-1086,1994-06-27,8,9,0,0,3,0.69461447
2.91018244975,8.469161890832913,1994,94-1086,1994-07-01,9,10,0,0,3,0.69461447
6.2514204545,39.08025769894098,2000,00-160,2000-03-10,1,2,0,0,5,0.6725061
6.2514204545,39.08025769894098,2000,00-160,2000-03-17,2,3,0,0,5,0.6725061
6.2514204545,39.08025769894098,2000,00-160,2000-03-24,3,4,0,0,5,0.6725061
6.2514204545,39.08025769894098,2000,00-160,2000-03-31,4,5,0,1,5,0.6725061
6.2514204545,39.08025769894098,2000,00-160,2000-04-05,5,6,1,1,5,0.6725061
3.630382496,13.179677067263192,1997,97-641,1997-03-03,1,2,0,0,4,0.466569781
3.6670807454,13.44748119328342,1997,97-641,1997-03-10,2,3,0,0,4,0.466569781
3.6670807454,13.44748119328342,1997,97-641,1997-03-17,3,4,0,0,4,0.466569781
3.6670807454,13.44748119328342,1997,97-641,1997-03-24,4,5,0,0,4,0.466569781
3.6670807454,13.44748119328342,1997,97-641,1997-03-31,5,6,0,0,4,0.466569781
3.702812405,13.710819706621884,1997,97-641,1997-04-07,6,7,0,0,4,0.466569781
3.702812405,13.710819706621884,1997,97-641,1997-04-14,7,8,0,0,4,0.466569781
3.702812405,13.710819706621884,1997,97-641,1997-04-21,8,9,0,0,4,0.466569781
3.702812405,13.710819706621884,1997,97-641,1997-04-25,9,10,0,0,4,0.466569781
3.2349029083333334,10.464596826343458,1998,98-717,1998-06-10,1,2,0,0,6,0.736769736
3.2349029083333334,10.464596826343458,1998,98-717,1998-06-17,2,3,0,1,6,0.736769736
3.2349029083333334,10.464596826343458,1998,98-717,1998-06-24,3,4,1,0,6,0.736769736
3.2349029083333334,10.464596826343458,1998,98-717,1998-06-25,4,5,1,1,6,0.736769736
3.8146553818333335,14.551595682150015,1996,96-179,1996-03-30,1,2,0,0,3,0.559031904
3.8146553818333335,14.551595682150015,1996,96-179,1996-04-06,2,3,0,0,3,0.559031904
3.8146553818333335,14.551595682150015,1996,96-179,1996-04-13,3,4,0,0,3,0.559031904
3.8146553818333335,14.551595682150015,1996,96-179,1996-04-20,4,5,0,0,3,0.559031904
3.4924682482,12.197334464685175,1996,96-179,1996-04-27,5,6,0,0,3,0.559031904
3.4084836676,11.617760912295948,1996,96-179,1996-05-04,6,7,0,0,3,0.559031904
3.4084836676,11.617760912295948,1996,96-179,1996-05-11,7,8,0,0,3,0.559031904
3.4084836676,11.617760912295948,1996,96-179,1996-05-18,8,9,0,0,3,0.559031904
3.4084836676,11.617760912295948,1996,96-179,1996-05-22,9,10,0,0,3,0.559031904
3.4625468163333335,11.989230455300104,1995,95-097,1995-05-14,1,2,0,0,6,0.173776656
